                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0918,                 3.8299,                 1.1013,                0.36322,                0.46075,                0.40526,                0.17464,                 1.9377,                 1.9371,                 1.0147,             0.00023536,             0.00023536,             0.00023536
                      2,                 1.7206,                 1.7249,                 1.0056,                0.62798,                0.60865,                0.65086,                0.31768,                 1.7236,                 1.4675,                0.96436,             0.00044211,             0.00044211,             0.00044211
                      3,                 1.6007,                 1.4177,                0.97885,                 0.7279,                0.69962,                0.76909,                0.33597,                  1.833,                 1.2521,                0.99075,             0.00061746,             0.00061746,             0.00061746
                      4,                 1.5578,                 1.2612,                0.96677,                0.79288,                 0.7404,                 0.8125,                0.39379,                 1.6589,                 1.1235,                0.95138,             0.00057263,             0.00057263,             0.00057263
                      5,                   1.55,                  1.197,                0.96555,                0.76835,                 0.7619,                0.82546,                0.40273,                 1.6716,                 1.1481,                0.95185,              0.0005255,              0.0005255,              0.0005255
                      6,                 1.4841,                 1.0595,                0.99406,                0.78364,                0.77884,                0.85188,                 0.4286,                 1.6259,                 1.0893,                0.94495,             0.00047838,             0.00047838,             0.00047838
                      7,                 1.4592,                 1.0011,                0.98012,                0.81181,                0.76839,                0.86943,                0.44958,                   1.55,                 1.0377,                0.92982,             0.00043126,             0.00043126,             0.00043126
                      8,                 1.4216,                0.94245,                0.97205,                0.84357,                0.80571,                0.87905,                0.43592,                 1.6067,                0.97871,                 0.9377,             0.00038413,             0.00038413,             0.00038413
                      9,                 1.4147,                0.92529,                0.96838,                0.82841,                0.82315,                0.89862,                0.48313,                 1.4845,                0.95233,                0.92147,             0.00033701,             0.00033701,             0.00033701
                     10,                 1.3828,                0.87105,                0.96752,                0.83117,                0.81685,                0.88733,                0.43795,                 1.6028,                0.94853,                0.93719,             0.00028988,             0.00028988,             0.00028988
                     11,                 1.3489,                0.83961,                0.95613,                0.83929,                0.85496,                0.91335,                0.49417,                 1.4819,                0.89087,                0.91679,             0.00024276,             0.00024276,             0.00024276
                     12,                   1.32,                0.80854,                0.94824,                0.85501,                 0.8569,                 0.9169,                0.49229,                 1.4765,                0.86101,                0.91195,             0.00019564,             0.00019564,             0.00019564
                     13,                 1.3049,                0.78797,                0.93715,                0.88675,                 0.8039,                0.91037,                0.48045,                 1.5097,                0.90448,                0.91869,             0.00014851,             0.00014851,             0.00014851
                     14,                 1.2906,                0.76821,                0.93642,                0.83942,                0.84992,                0.91948,                0.52158,                  1.394,                0.83793,                0.89856,             0.00010139,             0.00010139,             0.00010139
                     15,                 1.2626,                0.73052,                 0.9298,                0.86518,                0.85793,                0.92227,                0.50523,                 1.4564,                 0.8236,                0.91047,             5.4264e-05,             5.4264e-05,             5.4264e-05
